Total sizes:,,,
Used static DRAM,73828 bytes (50752 remain 59.3% used),,,
.data size,24908 bytes,,,
.bss  size,48920 bytes,,,
Used static IRAM,130634 bytes (438 remain 99.7% used),,,
.text size,129607 bytes,,,
.vectors size,1027 bytes,,,
Used Flash size ,1349255 bytes,,,
.text,1040963 bytes,,,
.rodata,308036 bytes,,,
Total image size,1504797 bytes (.bin may be padded larger),,,
Per-file contributions to ELF file:
Object File,DRAM .data,& 0.bss,IRAM0 .text,& 0.vectors,ram_st_total,Flash .text,& .rodata,& .rodata_noload,& .appdesc
esp_wpa3.c.obj,8,156,0,0,164,2559,0,0,0
rwble.o,98,84,2443,0,2625,23,0,0,0
transport_ssl.c.obj,0,0,0,0,0,2523,24,0,0
ecdsa.c.obj,0,0,0,0,0,2452,0,0,0
NimBLECharacteristic.cpp,4,0,0,0,4,2394,40,0,0
os_mbuf.c.obj,8,0,0,0,8,2408,20,0,0
rf_espressif.o,5,0,511,0,516,1886,15,0,0
llc_hci.o,0,4,280,0,284,2109,7,0,0
ble_sm_alg.c.obj,0,128,0,0,128,2291,101,0,0
hci_tl.o,0,1,396,0,397,1975,0,0,0
ble_hs_resolv.c.obj,0,425,0,0,425,2366,0,0,0
crypto_mbedtls-ec.c.obj,0,0,0,0,0,2361,0,0,0
oid.c.obj,0,0,0,0,0,795,1541,0,0
md.c.obj,0,0,0,0,0,2249,80,0,0
ieee802_11.c.obj,0,0,0,0,0,2301,0,0,0
pvmp3_framedecoder.cpp.o,0,0,0,0,0,2268,0,0,0
esp_aes_gcm.c.obj,0,0,0,0,0,2139,128,0,0
task_wdt.c.obj,33,5,0,0,38,2037,115,0,0
bignum_core.c.obj,0,0,0,0,0,2165,0,0,0
wpa_auth_ie.c.obj,0,0,0,0,0,2152,0,0,0
llc_llcp.o,0,0,412,0,412,1738,0,0,0
raw.c.obj,0,4,0,0,4,2060,28,0,0
coexist_core.o,277,1,941,0,1219,840,0,0,0
ble_store_config.c.obj,0,791,0,0,791,2045,0,0,0
if_hwctrl.o,0,41,40,0,81,1957,38,150,0
player.cpp.obj,0,211,0,0,211,1946,88,0,0
bt_bb.o,0,4,2026,0,2030,0,0,0,0
NimBLEDevice.cpp.obj,4,39,0,0,43,2001,4,0,0
spi_flash_hal_iram.c.obj,0,0,2006,0,2006,0,0,0,0
spi_bus_lock.c.obj,17,0,1303,0,1320,571,102,0,0
phy_init.c.obj,16,17,220,0,253,1490,244,0,0
ssl_ciphersuites.c.obj,0,240,0,0,240,274,1688,0,0
es8388.c.obj,40,8,0,0,48,1883,28,0,0
sdmmc_transaction.c.obj,0,85,0,0,85,1791,148,0,0
nvs_api.cpp.obj,0,16,0,0,16,1919,0,0,0
esp_id3_parse.c.obj,0,0,0,0,0,1759,152,0,0
audio_pipeline.c.obj,0,4,0,0,4,1798,103,0,0
